,url,count
589,github.com,5473
806,lists.fedoraproject.org,2056
802,lists.apache.org,1716
816,lists.opensuse.org,1471
1217,support.apple.com,1415
1801,www.oracle.com,1311
1012,portal.msrc.microsoft.com,1256
1123,security.gentoo.org,968
805,lists.debian.org,900
971,packetstormsecurity.com,842
1126,security.netapp.com,791
1536,www.debian.org,789
1370,usn.ubuntu.com,747
2058,www.zerodayinitiative.com,679
1799,www.openwall.com,656
491,exchange.xforce.ibmcloud.com,633
1650,www.ibm.com,628
1114,seclists.org,545
1179,source.android.com,526
1325,tools.cisco.com,518
212,bugzilla.redhat.com,459
1852,www.qualcomm.com,366
645,helpx.adobe.com,342
1668,www.intel.com,323
1173,snyk.io,314
591,gitlab.com,308
1367,us-cert.cisa.gov,296
307,crbug.com,287
237,chromereleases.googleblog.com,287
1750,www.mozilla.org,283
31,antoniocannito.it,238
10,access.redhat.com,233
1292,talosintelligence.com,231
781,launchpad.support.sap.com,219
1408,wiki.scn.sap.com,218
1582,www.exploit-db.com,207
228,cert-portal.siemens.com,200
1646,www.huawei.com,196
620,hackerone.com,186
731,jvn.jp,182
564,gist.github.com,166
706,jenkins.io,162
742,kb.netgear.com,155
1971,www.tenable.com,153
1422,wordpress.org,150
1089,rustsec.org,149
2005,www.us-cert.gov,142
209,bugzilla.mozilla.org,142
1697,www.kb.cert.org,120
1235,support.f5.com,119
0,Other,10558
